Index_Close,Oil_Close
62.950001,116.12
62.950001,115.2
63.59,115.5
63.25,116.03
63.290001,115.77
63.16,117.45
62.990002,115.76
63.5,113.74
63.68,112.62
63.580002,112.53
63.52,112.28
63.790001,113.93
62.77,114.98
63.150002,113.32
63.240002,114.5
63.23,113.64
63.23,113.84
62.209999,114.86
62.810001,114.86
61.91,116
62.209999,117.48
63.5,116.7
63.5,113.29
64.910004,108.49
65.709999,109.41
66.330002,111.27
67.279999,109.2
68.309998,110.77
67.260002,108.99
66.269997,111.45
66.169998,111.36
65.940002,112.58
66.110001,112.49
65.449997,109.32
64.57,110.48
63.919998,112.17
64.809998,112.6
64.519997,114.32
64.959999,116.11
64.889999,116.18
63.599998,115.17
64.870003,115
64.410004,115
64.629997,113.49
65.32,112.58
64.239998,111.89
65.300003,109.62
64.870003,107.53
64.949997,107.66
66.300003,107.64
66.300003,108.9
67.120003,109.33
66.169998,109.4
65.599998,109.89
64.300003,108.84
63.5,106.79
63.939999,105.59
64.129997,109.27
63.810001,108.21
64.330002,107.23
63.869999,108.61
63.880001,110.23
64.900002,108.82
63.16,109.66
62.189999,110.07
62.169998,106.81
62.040001,110.06
62.41,110.01
61.060001,110.81
60.93,110.14
61.09,110.18
62.990002,109.33
62.759998,108.26
63.27,110.47
63.27,110.84
63.400002,111.27
63.240002,109.99
63.360001,108.96
63.630001,108.01
63.630001,107.16
63.25,108.25
63.139999,107.6
63.509998,110.17
63.610001,110.18
64.07,109.28
64.099998,109.35
64.099998,109.96
64.650002,109.95
63.900002,110.57
63.700001,109.13
64.309998,108.44
65.550003,110.72
65.25,110.04
65.440002,110.05
64.980003,110.8
64.360001,112.98
64.099998,113.03
63.75,112.58
63.43,112.49
63.849998,113.03
65.019997,113.07
65.970001,112.97
66.82,110.3
66.230003,111.32
65.709999,111.72
65.379997,110.97
66.07,111.01
65.739998,111.71
65.699997,112.72
66.389999,113.68
66.610001,114.59
67.07,113.88
67.800003,113.92
68.650002,115.22
68.43,115.42
68.489998,115.55
69.040001,115.55
68.980003,116.06
70.529999,117.03
70.559998,116.61
70.349998,117.17
71.089996,118.9
70.510002,118.29
71.120003,117.89
70.889999,118.43
71.199997,118.48
71.839996,117.4
71.599998,117.04
71.540001,116.23
72.169998,114.19
72.82,113.74
71.839996,114.55
72.809998,112.96
70.800003,112.24
69.550003,112.2
70.68,110.14
70,109.9
69.110001,110.42
70.639999,110.27
70.690002,110.42
70.290001,108.91
