Date,xom,cvx,rydaf,ptr,tte,cop,eqnr,bp,enb,pbr
1981-10-23,0.7026848793029785,2.250079393386841,,,,,,1.4093703031539917,,
1981-10-26,0.6997689604759216,2.2034804821014404,,,,,,1.3966740369796753,,
1981-10-27,0.7085164785385132,2.2034804821014404,,,,,,1.451694130897522,,
1981-10-28,0.7143476009368896,2.210136651992798,,,,,,1.4474622011184692,,
1981-10-29,0.711432158946991,2.210136651992798,,,,,,1.4178358316421509,,
1981-10-30,0.7085164785385132,2.276707410812378,,,,,,1.468623399734497,,
1981-11-02,0.711432158946991,2.329963207244873,,,,,,1.5575032234191895,,
1981-11-03,0.7318419218063354,2.2966768741607666,,,,,,1.5575032234191895,,
1981-11-04,0.7347574830055237,2.3099918365478516,,,,,,1.5448052883148193,,
1981-11-05,0.7317708134651184,2.316649913787842,,,,,,1.4813220500946045,,
1981-11-06,0.7198235392570496,2.316649913787842,,,,,,1.467589020729065,,
1981-11-09,0.7257972359657288,2.329963207244873,,,,,,1.467589020729065,,
1981-11-10,0.7257972359657288,2.2966768741607666,,,,,,1.4375509023666382,,
1981-11-11,0.7168371081352234,2.2633919715881348,,,,,,1.4590067863464355,,
1981-11-12,0.7317708134651184,2.303335666656494,,,,,,1.4504241943359375,,
1981-11-13,0.7287839651107788,2.276707410812378,,,,,,1.4289683103561401,,
1981-11-16,0.7317708134651184,2.2367641925811768,,,,,,1.411802887916565,,
1981-11-17,0.7377446889877319,2.2567355632781982,,,,,,1.4804633855819702,,
1981-11-18,0.740731418132782,2.1968226432800293,,,,,,1.4375509023666382,,
1981-11-19,0.7437182664871216,2.223451614379883,,,,,,1.4289683103561401,,
1981-11-20,0.7556655406951904,2.2367641925811768,,,,,,1.4547154903411865,,
1981-11-23,0.7556655406951904,2.230107307434082,,,,,,1.4547154903411865,,
1981-11-24,0.7705998420715332,2.270049810409546,,,,,,1.4547154903411865,,
1981-11-25,0.7735862731933594,2.336620330810547,,,,,,1.4547154903411865,,
1981-11-27,0.7765730023384094,2.3565902709960938,,,,,,1.4632982015609741,,
1981-11-30,0.7825465202331543,2.3965342044830322,,,,,,1.523375153541565,,
1981-12-01,0.78553307056427,2.369905948638916,,,,,,1.523375153541565,,
1981-12-02,0.7765730023384094,2.3565902709960938,,,,,,1.5062096118927002,,
1981-12-03,0.7795602679252625,2.369905948638916,,,,,,1.5276658535003662,,
1981-12-04,0.7825465202331543,2.383219003677368,,,,,,1.536247968673706,,
1981-12-07,0.7735862731933594,2.369905948638916,,,,,,1.5319571495056152,,
1981-12-08,0.7556655406951904,2.3765618801116943,,,,,,1.5319571495056152,,
1981-12-09,0.7586525678634644,2.436476945877075,,,,,,1.5705771446228027,,
1981-12-10,0.7586525678634644,2.403190851211548,,,,,,1.5534121990203857,,
1981-12-11,0.7467049956321716,2.3632500171661377,,,,,,1.5791600942611694,,
1981-12-14,0.740731418132782,2.303335666656494,,,,,,1.5319571495056152,,
1981-12-15,0.7377446889877319,2.276707410812378,,,,,,1.5276658535003662,,
1981-12-16,0.7377446889877319,2.250079393386841,,,,,,1.536247968673706,,
1981-12-17,0.7347574830055237,2.276707410812378,,,,,,1.557703971862793,,
1981-12-18,0.7377446889877319,2.270049810409546,,,,,,1.5491224527359009,,
1981-12-21,0.740731418132782,2.270049810409546,,,,,,1.4976277351379395,,
1981-12-22,0.7377446889877319,2.270049810409546,,,,,,1.4847533702850342,,
1981-12-23,0.7377446889877319,2.2966768741607666,,,,,,1.4547154903411865,,
1981-12-24,0.7347574830055237,2.3099918365478516,,,,,,1.467589020729065,,
1981-12-28,0.7347574830055237,2.2900216579437256,,,,,,1.4547154903411865,,
1981-12-29,0.740731418132782,2.2966768741607666,,,,,,1.4504241943359375,,
1981-12-30,0.7437182664871216,2.316649913787842,,,,,,1.433259129524231,,
1981-12-31,0.7467049956321716,2.2833638191223145,,,,0.870895266532898,,1.4246770143508911,,
1982-01-04,0.7377446889877319,2.2167935371398926,,,,0.8574556708335876,,1.3989295959472656,,
1982-01-05,0.7257972359657288,2.1302528381347656,,,,0.8252008557319641,,1.364599585533142,,
1982-01-06,0.7257972359657288,2.083653450012207,,,,0.809073269367218,,1.364599585533142,,
1982-01-07,0.7257972359657288,2.0636823177337646,,,,0.8010091185569763,,1.3560177087783813,,
1982-01-08,0.7228105068206787,2.050368309020996,,,,0.7848816514015198,,1.3388532400131226,,
1982-01-11,0.7138502597808838,2.0037686824798584,,,,0.7526258826255798,,1.2830678224563599,,
1982-01-12,0.7168371081352234,2.0237395763397217,,,,0.7391863465309143,,1.2659024000167847,,
1982-01-13,0.7198235392570496,1.9904555082321167,,,,0.7364980578422546,,1.2830678224563599,,
1982-01-14,0.7198235392570496,2.010425329208374,,,,0.7580022811889648,,1.2701936960220337,,
1982-01-15,0.7168371081352234,2.0037686824798584,,,,0.8332646489143372,,1.291649341583252,,
1982-01-18,0.7168371081352234,2.0237395763397217,,,,0.8628323674201965,,1.2616115808486938,,
