,date,XOM,CVX,SHEL,TTE,COP,EQNR,BP,ENB,PTR,PBR
2430,1971-10-01,0.2228080779314041,0.5537860989570618,,,,,0.2801884710788727,,,
2431,1971-10-04,0.2231890857219696,0.551313579082489,,,,,0.2843088209629059,,,
2432,1971-10-05,0.2220463901758194,0.551313579082489,,,,,0.28554484248161316,,,
2433,1971-10-06,0.21976110339164734,0.5562583804130554,,,,,0.2892534136772156,,,
2434,1971-10-07,0.21938031911849976,0.5537860989570618,,,,,0.2863689064979553,,,
2435,1971-10-08,0.21595250070095062,0.551313579082489,,,,,0.2876052260398865,,,
2436,1971-10-11,0.2182377576828003,0.5500777363777161,,,,,0.287193238735199,,,
2437,1971-10-12,0.21709519624710083,0.5463693141937256,,,,,0.2888413071632385,,,
2438,1971-10-13,0.21480992436408997,0.5451333522796631,,,,,0.29131343960762024,,,
2439,1971-10-14,0.21366731822490692,0.5426607131958008,,,,,0.2917254567146301,,,
2440,1971-10-15,0.21480992436408997,0.5377164483070374,,,,,0.2900775074958801,,,
2441,1971-10-18,0.21595250070095062,0.5389525294303894,,,,,0.28678107261657715,,,
2442,1971-10-19,0.21785691380500793,0.5352440476417542,,,,,0.282660573720932,,,
2443,1971-10-20,0.21442918479442596,0.5265910625457764,,,,,0.28101271390914917,,,
2444,1971-10-21,0.21290570497512817,0.5191740989685059,,,,,0.282660573720932,,,
2445,1971-10-22,0.21747612953186035,0.5167022347450256,,,,,0.2876052260398865,,,
2446,1971-10-25,0.21671418845653534,0.5253551006317139,,,,,0.28595709800720215,,,
2447,1971-10-26,0.2155715823173523,0.5278274416923523,,,,,0.28389671444892883,,,
2448,1971-10-27,0.21442918479442596,0.5241190195083618,,,,,0.2768922448158264,,,
2449,1971-10-28,0.21404819190502167,0.5377164483070374,,,,,0.27730414271354675,,,
2450,1971-10-29,0.213286355137825,0.5463693141937256,,,,,0.2764800488948822,,,
2451,1971-11-01,0.21138206124305725,0.5389525294303894,,,,,0.2744201123714447,,,
2452,1971-11-02,0.21442918479442596,0.5327720642089844,,,,,0.27277156710624695,,,
2453,1971-11-03,0.21709519624710083,0.5426607131958008,,,,,0.27277156710624695,,,
2454,1971-11-04,0.21899938583374023,0.5434120893478394,,,,,0.27194744348526,,,
2455,1971-11-05,0.21760819852352142,0.5371513962745667,,,,,0.26906320452690125,,,
2456,1971-11-08,0.21644842624664307,0.5346472263336182,,,,,0.272553414106369,,,
2457,1971-11-09,0.2149023860692978,0.5283868312835693,,,,,0.272553414106369,,,
2458,1971-11-10,0.21335621178150177,0.5058488249778748,,,,,0.2717222571372986,,,
2459,1971-11-11,0.21103739738464355,0.5158659815788269,,,,,0.269229531288147,,,
2460,1971-11-12,0.21103739738464355,0.5171183943748474,,,,,0.2659056484699249,,,
2461,1971-11-15,0.20987766981124878,0.5121095776557922,,,,,0.2625819146633148,,,
2462,1971-11-16,0.21142391860485077,0.5196220278739929,,,,,0.25884267687797546,,,
2463,1971-11-17,0.21219664812088013,0.5283868312835693,,,,,0.25261029601097107,,,
2464,1971-11-18,0.21181027591228485,0.5196220278739929,,,,,0.24845562875270844,,,
2465,1971-11-19,0.21412941813468933,0.5146139860153198,,,,,0.2513638138771057,,,
2466,1971-11-22,0.21335621178150177,0.5058488249778748,,,,,0.24845562875270844,,,
2467,1971-11-23,0.21065078675746918,0.5058488249778748,,,,,0.24970200657844543,,,
2468,1971-11-24,0.20987766981124878,0.5083532333374023,,,,,0.24970200657844543,,,
2469,1971-11-26,0.21142391860485077,0.5208746790885925,,,,,0.2538568079471588,,,
2470,1971-11-29,0.2149023860692978,0.5283868312835693,,,,,0.25759613513946533,,,
2471,1971-11-30,0.2129697948694229,0.5283868312835693,,,,,0.25759613513946533,,,
