Date,rydaf
2009-03-23,11.114995002746582
2009-03-24,11.114995002746582
2009-03-25,11.114995002746582
2009-03-26,11.114995002746582
2009-03-27,11.114995002746582
2009-03-30,11.114995002746582
2009-03-31,11.114995002746582
2009-04-01,11.114995002746582
2009-04-02,11.114995002746582
2009-04-03,11.114995002746582
2009-04-06,10.775979042053223
2009-04-07,10.751761436462402
2009-04-08,10.630683898925781
2009-04-09,10.630683898925781
2009-04-13,10.630683898925781
2009-04-14,10.19480037689209
2009-04-15,10.19480037689209
2009-04-16,10.533819198608398
2009-04-17,10.533819198608398
2009-04-20,10.412739753723145
2009-04-21,10.461173057556152
2009-04-22,10.412739753723145
2009-04-23,10.412739753723145
2009-04-24,11.06656551361084
2009-04-27,11.06656551361084
2009-04-28,10.800190925598145
2009-04-29,11.216700553894043
2009-04-30,11.216700553894043
2009-05-01,11.216700553894043
2009-05-04,11.216700553894043
2009-05-05,11.216700553894043
2009-05-06,11.640900611877441
2009-05-07,11.640900611877441
2009-05-08,11.640900611877441
2009-05-11,11.788886070251465
2009-05-12,11.788886070251465
2009-05-13,11.788886070251465
2009-05-14,11.788886070251465
2009-05-15,11.788886070251465
2009-05-18,12.380794525146484
2009-05-19,12.652083396911621
2009-05-20,12.652083396911621
2009-05-21,12.701410293579102
2009-05-22,12.923373222351074
2009-05-26,12.923373222351074
2009-05-27,12.923373222351074
2009-05-28,12.676749229431152
2009-05-29,13.367308616638184
2009-06-01,13.860566139221191
2009-06-02,13.909893989562988
2009-06-03,13.194668769836426
2009-06-04,13.317984580993652
2009-06-05,13.194668769836426
2009-06-08,13.317984580993652
2009-06-09,13.317984580993652
2009-06-10,13.44129753112793
2009-06-11,13.983885765075684
2009-06-12,13.983885765075684
2009-06-15,12.898712158203125
2009-06-16,12.874051094055176
2009-06-17,12.874051094055176
2009-06-18,12.874051094055176
2009-06-19,12.726068496704102
2009-06-22,12.1094970703125
2009-06-23,12.331465721130371
2009-06-24,12.331465721130371
2009-06-25,12.03551197052002
2009-06-26,12.03551197052002
2009-06-29,12.03551197052002
2009-06-30,12.03551197052002
2009-07-01,12.03551197052002
2009-07-02,12.03551197052002
2009-07-06,11.739553451538086
2009-07-07,11.739553451538086
2009-07-08,11.739553451538086
2009-07-09,11.739553451538086
2009-07-10,11.512654304504395
2009-07-13,11.512654304504395
2009-07-14,11.98618221282959
2009-07-15,11.98618221282959
2009-07-16,11.98618221282959
2009-07-17,12.479440689086914
2009-07-20,12.479440689086914
2009-07-21,12.553434371948242
2009-07-22,12.553434371948242
2009-07-23,12.726068496704102
2009-07-24,12.972700119018555
2009-07-27,12.972700119018555
2009-07-28,12.972700119018555
2009-07-29,12.701410293579102
2009-07-30,12.824722290039062
2009-07-31,13.0466890335083
2009-08-03,13.29332160949707
2009-08-04,13.317984580993652
2009-08-05,13.15263557434082
2009-08-06,12.97726821899414
2009-08-07,12.97726821899414
2009-08-10,12.877059936523438
2009-08-11,12.877059936523438
2009-08-12,13.227797508239746
2009-08-13,13.177685737609863
2009-08-14,13.378111839294434
2009-08-17,12.776848793029785
2009-08-18,13.15263557434082
2009-08-19,13.15263557434082
2009-08-20,13.15263557434082
2009-08-21,13.15263557434082
2009-08-24,13.15263557434082
2009-08-25,13.15263557434082
2009-08-26,13.15263557434082
2009-08-27,13.728846549987793
2009-08-28,13.728846549987793
2009-08-31,13.728846549987793
2009-09-01,13.503373146057129
2009-09-02,13.503373146057129
2009-09-03,13.503373146057129
2009-09-04,13.503373146057129
2009-09-08,13.503373146057129
2009-09-09,14.63074779510498
2009-09-10,14.63074779510498
2009-09-11,14.730951309204102
2009-09-14,14.730951309204102
2009-09-15,14.75600814819336
2009-09-16,14.75600814819336
2009-09-17,14.75600814819336
2009-09-18,14.63074779510498
2009-09-21,14.63074779510498
2009-09-22,14.63074779510498
2009-09-23,15.131793975830078
2009-09-24,14.50547981262207
2009-09-25,14.405271530151367
2009-09-28,14.405271530151367
2009-09-29,14.405271530151367
2009-09-30,14.154739379882812
2009-10-01,14.254951477050781
2009-10-02,14.104633331298828
2009-10-05,14.104633331298828
2009-10-06,14.280008316040039
2009-10-07,14.169775009155273
2009-10-08,14.280008316040039
2009-10-09,14.280008316040039
2009-10-12,14.405271530151367
2009-10-13,14.50547981262207
2009-10-14,14.50547981262207
2009-10-15,14.50547981262207
2009-10-16,14.50547981262207
2009-10-19,15.457481384277344
2009-10-20,15.682952880859375
2009-10-21,15.682952880859375
2009-10-22,15.682952880859375
2009-10-23,15.442448616027832
2009-10-26,15.442448616027832
2009-10-27,15.442448616027832
2009-10-28,15.442448616027832
2009-10-29,15.442448616027832
2009-10-30,15.442448616027832
2009-11-02,15.442448616027832
2009-11-03,15.442448616027832
2009-11-04,14.98526668548584
2009-11-05,14.98526668548584
2009-11-06,14.98526668548584
2009-11-09,15.645635604858398
2009-11-10,15.645635604858398
2009-11-11,16.001216888427734
2009-11-12,15.747230529785156
2009-11-13,15.747230529785156
2009-11-16,15.747230529785156
2009-11-17,15.747230529785156
2009-11-18,15.747230529785156
2009-11-19,15.747230529785156
2009-11-20,15.188458442687988
2009-11-23,15.899627685546875
2009-11-24,15.899627685546875
2009-11-25,15.899627685546875
2009-11-27,15.899627685546875
2009-11-30,15.21385669708252
2009-12-01,15.21385669708252
2009-12-02,15.737067222595215
2009-12-03,15.239256858825684
2009-12-04,15.493247985839844
2009-12-07,15.493247985839844
2009-12-08,14.95987319946289
2009-12-09,14.95987319946289
2009-12-10,14.95987319946289
2009-12-11,14.909074783325195
2009-12-14,14.909074783325195
2009-12-15,14.909074783325195
2009-12-16,14.619524002075195
2009-12-17,14.619524002075195
2009-12-18,14.65509033203125
2009-12-21,15.112263679504395
2009-12-22,15.112263679504395
2009-12-23,15.361177444458008
2009-12-24,15.361177444458008
2009-12-28,15.239256858825684
2009-12-29,15.290053367614746
2009-12-30,15.569440841674805
2009-12-31,15.239256858825684
2010-01-04,15.823430061340332
2010-01-05,15.823430061340332
2010-01-06,15.671032905578613
2010-01-07,15.671032905578613
2010-01-08,15.823430061340332
2010-01-11,15.823430061340332
2010-01-12,15.823430061340332
2010-01-13,15.442447662353516
2010-01-14,15.442447662353516
2010-01-15,15.010668754577637
2010-01-19,15.544041633605957
2010-01-20,15.544041633605957
2010-01-21,15.544041633605957
2010-01-22,15.544041633605957
2010-01-25,14.75667953491211
2010-01-26,14.75667953491211
2010-01-27,14.843036651611328
2010-01-28,13.969318389892578
2010-01-29,14.223310470581055
2010-02-01,14.401097297668457
2010-02-02,14.401097297668457
2010-02-03,14.401097297668457
2010-02-04,14.401097297668457
2010-02-05,13.608657836914062
2010-02-08,13.608657836914062
2010-02-09,13.842321395874023
2010-02-10,13.775253295898438
2010-02-11,13.775253295898438
2010-02-12,13.775253295898438
2010-02-16,13.775253295898438
2010-02-17,14.136402130126953
2010-02-18,14.136402130126953
2010-02-19,14.136402130126953
2010-02-22,14.316976547241211
2010-02-23,14.316976547241211
2010-02-24,14.239594459533691
2010-02-25,14.239594459533691
2010-02-26,14.239594459533691
2010-03-01,14.239594459533691
2010-03-02,14.239594459533691
2010-03-03,14.703925132751465
2010-03-04,14.34277629852295
2010-03-05,14.574942588806152
2010-03-08,14.574942588806152
2010-03-09,14.760674476623535
2010-03-10,14.745196342468262
2010-03-11,14.745196342468262
2010-03-12,14.987687110900879
2010-03-15,14.858702659606934
2010-03-16,15.054753303527832
