Date,bp
2016-11-07,24.283601760864258
2016-11-08,24.32719612121582
2016-11-09,24.588781356811523
2016-11-10,24.66144371032715
2016-11-11,24.109210968017578
2016-11-14,23.963884353637695
2016-11-15,24.421655654907227
2016-11-16,24.19640350341797
2016-11-17,24.34173011779785
2016-11-18,24.443452835083008
2016-11-21,24.995685577392578
2016-11-22,25.097415924072266
2016-11-23,24.995685577392578
2016-11-25,24.901226043701172
2016-11-28,24.501585006713867
2016-11-29,24.35626220703125
2016-11-30,25.438922882080078
2016-12-01,25.71504020690918
2016-12-02,25.780437469482422
2016-12-05,25.780437469482422
2016-12-06,25.845834732055664
2016-12-07,26.07834815979004
2016-12-08,26.296329498291016
2016-12-09,26.16554069519043
2016-12-12,26.52884864807129
2016-12-13,26.73230743408203
2016-12-14,26.172807693481445
2016-12-15,26.049283981323242
2016-12-16,26.58698081970215
2016-12-19,26.565183639526367
2016-12-20,26.53611946105957
2016-12-21,26.72504425048828
2016-12-22,26.81949806213379
2016-12-23,26.899431228637695
2016-12-27,26.964828491210938
2016-12-28,27.066556930541992
2016-12-29,27.175539016723633
2016-12-30,27.16100311279297
2017-01-03,27.61151695251465
2017-01-04,27.822229385375977
2017-01-05,28.02568817138672
2017-01-06,27.546117782592773
2017-01-09,27.110149383544922
2017-01-10,26.964828491210938
2017-01-11,27.284536361694336
2017-01-12,27.437122344970703
2017-01-13,27.364465713500977
2017-01-17,27.20460319519043
2017-01-18,26.957557678222656
2017-01-19,26.81223487854004
2017-01-20,26.768638610839844
2017-01-23,26.608776092529297
2017-01-24,26.81949806213379
2017-01-25,26.906694412231445
2017-01-26,26.695980072021484
2017-01-27,26.57971954345703
2017-01-30,26.12921142578125
2017-01-31,26.14374542236328
2017-02-01,26.151010513305664
2017-02-02,26.005693435668945
2017-02-03,26.100147247314453
2017-02-06,26.027488708496094
2017-02-07,24.981157302856445
2017-02-08,25.017486572265625
2017-02-09,25.024751663208008
2017-02-10,25.09014892578125
2017-02-13,25.184608459472656
2017-02-14,25.12648582458496
2017-02-15,24.989702224731445
2017-02-16,24.900981903076172
2017-02-17,24.708751678466797
2017-02-21,25.011878967285156
2017-02-22,24.70135498046875
2017-02-23,25.03406524658203
2017-02-24,24.767900466918945
2017-02-27,25.122777938842773
2017-02-28,25.07842254638672
2017-03-01,25.3076171875
2017-03-02,25.22629165649414
2017-03-03,25.204111099243164
2017-03-06,25.115392684936523
2017-03-07,25.04145050048828
2017-03-08,24.627422332763672
2017-03-09,24.767900466918945
2017-03-10,25.381547927856445
2017-03-13,25.18932342529297
2017-03-14,24.71614646911621
2017-03-15,24.974910736083984
2017-03-16,25.152359008789062
2017-03-17,25.344579696655273
2017-03-20,25.278038024902344
2017-03-21,25.315013885498047
2017-03-22,25.130176544189453
2017-03-23,25.181926727294922
2017-03-24,24.974910736083984
2017-03-27,24.952735900878906
2017-03-28,25.07842254638672
2017-03-29,25.455490112304688
2017-03-30,25.52202606201172
2017-03-31,25.52202606201172
2017-04-03,25.43330192565918
2017-04-04,25.721649169921875
2017-04-05,25.57377815246582
2017-04-06,25.67728614807129
2017-04-07,25.766008377075195
2017-04-10,25.943449020385742
2017-04-11,26.15046501159668
2017-04-12,26.209613800048828
2017-04-13,25.869518280029297
2017-04-17,25.89908790588379
2017-04-18,25.632925033569336
2017-04-19,25.241079330444336
2017-04-20,25.248470306396484
2017-04-21,25.137569427490234
2017-04-24,25.470272064208984
2017-04-25,25.625532150268555
