Date,eqnr
2002-03-12,3.274298906326294
2002-03-13,3.2699334621429443
2002-03-14,3.2699334621429443
2002-03-15,3.230642318725586
2002-03-18,3.2612006664276123
2002-03-19,3.3135910034179688
2002-03-20,3.3048582077026367
2002-03-21,3.3354198932647705
2002-03-22,3.3878085613250732
2002-03-25,3.3747103214263916
2002-03-26,3.370344400405884
2002-03-27,3.4489288330078125
2002-03-28,3.4183688163757324
2002-04-01,3.4489288330078125
2002-04-02,3.6148266792297363
2002-04-03,3.5755345821380615
2002-04-04,3.5231456756591797
2002-04-05,3.4270999431610107
2002-04-08,3.501317262649536
2002-04-09,3.457660675048828
2002-04-10,3.4620249271392822
2002-04-11,3.475123405456543
2002-04-12,3.4489288330078125
2002-04-15,3.5144152641296387
2002-04-16,3.584266185760498
2002-04-17,3.671581268310547
